"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Adames, Willy",642715,"SF","FF","4-Seam Fastball",-0.2,-1,"448",36.2,"122","0.22","0.431","0.317",14.2,11.5,12.4,"0.262","0.572","0.377",53.1
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",1.5,7,"462",39,"118","0.343","0.505","0.423",6.1,5.9,7.1,"0.292","0.399","0.358",31.2
"Devers, Rafael",646240,"BOS","FF","4-Seam Fastball",1.6,9,"583",42,"116","0.292","0.583","0.425",35.5,22.4,14.4,"0.294","0.618","0.437",60
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",0.4,2,"479",37.5,"116","0.267","0.475","0.359",26.9,25.9,23.6,"0.275","0.469","0.376",56.9
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",0.1,0,"494",38.2,"111","0.25","0.467","0.36",15.5,12.6,10.1,"0.281","0.521","0.395",53.2
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",1.1,6,"554",43.7,"111","0.261","0.455","0.373",9.3,9,7.4,"0.272","0.456","0.372",31.7
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",0.6,3,"506",40.4,"111","0.259","0.358","0.378",21.8,18,13.8,"0.253","0.377","0.385",27.4
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",0,0,"509",41.9,"109","0.212","0.329","0.325",18.4,22,17.8,"0.217","0.355","0.333",45.3
"Flores, Wilmer",527038,"SF","FF","4-Seam Fastball",0.1,0,"405",34.2,"109","0.27","0.46","0.344",14.4,13.8,11.1,"0.233","0.379","0.297",25.9
"Tucker, Kyle",663656,"CHC","FF","4-Seam Fastball",2,8,"406",33.5,"108","0.244","0.488","0.396",12.7,9.3,10.8,"0.287","0.642","0.452",48.7
"Larnach, Trevor",663616,"MIN","FF","4-Seam Fastball",-0.4,-1,"338",31.3,"108","0.228","0.446","0.313",18.8,16.7,21.4,"0.307","0.542","0.378",45.2
"Edwards, Xavier",669364,"MIA","FF","4-Seam Fastball",-0.7,-3,"397",44.1,"106","0.273","0.352","0.342",8.8,14.2,16,"0.28","0.358","0.344",41.9
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",-0.4,-2,"408",39.8,"105","0.281","0.438","0.329",4.7,2.9,3.1,"0.239","0.294","0.261",14.7
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",0,0,"537",44.2,"105","0.275","0.429","0.357",17.2,18.1,10.9,"0.262","0.415","0.337",34.2
"Butler, Lawrence",671732,"ATH","FF","4-Seam Fastball",1.9,7,"386",31.2,"105","0.308","0.549","0.409",28.4,22.9,20.2,"0.262","0.488","0.368",50.7
"Santana, Carlos",467793,"CLE","FF","4-Seam Fastball",-0.3,-1,"355",31.4,"104","0.25","0.337","0.31",16.4,11.5,12,"0.241","0.427","0.324",37
"India, Jonathan",663697,"KC","FF","4-Seam Fastball",-1,-4,"406",35.4,"104","0.225","0.303","0.291",16.3,13.5,11,"0.282","0.456","0.369",39.5
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",0.4,2,"425",33.9,"104","0.209","0.462","0.341",20.9,25,18.8,"0.232","0.512","0.361",44.6
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",0.7,3,"388",34.9,"104","0.255","0.457","0.38",11.6,9.6,10,"0.283","0.545","0.384",47.6
"Gurriel Jr., Lourdes",666971,"AZ","FF","4-Seam Fastball",-0.6,-2,"347",34.6,"103","0.237","0.387","0.304",12.4,9.7,10.6,"0.257","0.416","0.316",38.8
"Nootbaar, Lars",663457,"STL","FF","4-Seam Fastball",-0.3,-1,"397",31.4,"103","0.239","0.341","0.317",9.5,15.5,17,"0.268","0.461","0.366",54.2
"Lee, Jung Hoo",808982,"SF","FF","4-Seam Fastball",-1,-4,"401",35.5,"103","0.247","0.355","0.303",7.6,9.7,9.3,"0.318","0.45","0.367",31.3
"Riley, Austin",663586,"ATL","FF","4-Seam Fastball",-0.4,-2,"465",36.5,"103","0.239","0.348","0.311",26.4,29.1,19.6,"0.246","0.41","0.324",51.6
